MOVE 0.158739 -0.310386 1.300000
MOVE 0.158739 -0.310386 1.000000
DRAW 0.158739 -0.310386 1.000000
DRAW 0.158739 -0.310386 1.000000
MOVE 0.158739 -0.310386 1.300000
MOVE 0.089908 -0.341101 1.300000
MOVE 0.089908 -0.341101 1.000000
DRAW 0.089908 -0.341101 1.000000
DRAW 0.089908 -0.341101 1.000000
MOVE 0.089908 -0.341101 1.300000
MOVE -0.016359 -0.592608 1.300000
MOVE -0.016359 -0.592608 1.000000
DRAW -0.016359 -0.592608 1.000000
DRAW -0.008070 -0.597820 1.000000
DRAW -0.000970 -0.604920 1.000000
DRAW 0.004935 -0.612848 1.000000
DRAW 0.010737 -0.620760 1.000000
DRAW 0.016269 -0.628793 1.000000
DRAW 0.019323 -0.637932 1.000000
DRAW 0.024282 -0.646340 1.000000
DRAW 0.026584 -0.655624 1.000000
DRAW 0.027743 -0.665430 1.000000
DRAW 0.030668 -0.674690 1.000000
DRAW 0.033753 -0.683849 1.000000
DRAW 0.035835 -0.693197 1.000000
DRAW 0.037027 -0.703041 1.000000
DRAW 0.040074 -0.712203 1.000000
DRAW 0.040207 -0.722238 1.000000
DRAW 0.043386 -0.731393 1.000000
DRAW 0.046386 -0.740559 1.000000
DRAW 0.048289 -0.749970 1.000000
DRAW 0.049746 -0.759744 1.000000
DRAW 0.052925 -0.768899 1.000000
DRAW 0.055781 -0.778081 1.000000
DRAW 0.056105 -0.788095 1.000000
DRAW 0.056105 -0.798137 1.000000
DRAW 0.052722 -0.807207 1.000000
DRAW 0.044585 -0.812723 1.000000
DRAW 0.034551 -0.812862 1.000000
DRAW 0.025396 -0.816041 1.000000
DRAW 0.016229 -0.819034 1.000000
DRAW 0.007066 -0.822134 1.000000
DRAW -0.001656 -0.826531 1.000000
DRAW -0.010901 -0.829464 1.000000
DRAW -0.019574 -0.834160 1.000000
DRAW -0.028575 -0.838165 1.000000
DRAW -0.037074 -0.842949 1.000000
DRAW -0.045521 -0.847820 1.000000
DRAW -0.054677 -0.850969 1.000000
DRAW -0.064717 -0.851017 1.000000
DRAW -0.073471 -0.846871 1.000000
DRAW -0.078614 -0.838549 1.000000
DRAW -0.081542 -0.829289 1.000000
DRAW -0.084627 -0.820130 1.000000
DRAW -0.087747 -0.810971 1.000000
DRAW -0.089698 -0.801577 1.000000
DRAW -0.091081 -0.791783 1.000000
DRAW -0.094056 -0.782615 1.000000
DRAW -0.094261 -0.772587 1.000000
DRAW -0.097440 -0.763432 1.000000
DRAW -0.097440 -0.753391 1.000000
DRAW -0.100460 -0.744226 1.000000
DRAW -0.100620 -0.734194 1.000000
DRAW -0.100620 -0.724153 1.000000
DRAW -0.102870 -0.714862 1.000000
DRAW -0.103800 -0.704956 1.000000
DRAW -0.103800 -0.694915 1.000000
DRAW -0.103800 -0.684873 1.000000
DRAW -0.103800 -0.674832 1.000000
DRAW -0.103800 -0.664790 1.000000
DRAW -0.102562 -0.654958 1.000000
DRAW -0.100620 -0.645594 1.000000
DRAW -0.100620 -0.635552 1.000000
DRAW -0.097440 -0.626398 1.000000
DRAW -0.096085 -0.616596 1.000000
DRAW -0.091200 -0.608059 1.000000
DRAW -0.086057 -0.599737 1.000000
DRAW -0.080915 -0.591415 1.000000
DRAW -0.072607 -0.586241 1.000000
DRAW -0.063449 -0.583111 1.000000
DRAW -0.053413 -0.583005 1.000000
DRAW -0.043371 -0.583005 1.000000
DRAW -0.033385 -0.583524 1.000000
DRAW -0.024213 -0.586588 1.000000
DRAW -0.016359 -0.592608 1.000000
MOVE -0.016359 -0.592608 1.300000
MOVE 0.051285 -0.842862 1.300000
MOVE 0.051285 -0.842862 1.000000
DRAW 0.051285 -0.842862 1.000000
DRAW 0.043756 -0.850391 1.000000
DRAW 0.036226 -0.857921 1.000000
DRAW 0.028697 -0.865450 1.000000
DRAW 0.021168 -0.872979 1.000000
DRAW 0.013638 -0.880509 1.000000
MOVE 0.013638 -0.880509 1.300000
MOVE 0.027780 -0.880509 1.300000
MOVE 0.027780 -0.880509 1.000000
DRAW 0.027780 -0.880509 1.000000
